Date,Close,High,Low,Open,Volume,ETF_Name,Ticker,Category,Asset_Class,Geographic_Focus,Currency,Issuer,Expense_Ratio,Full_Name,Year,Quarter,Month,Week,Day,Day_of_Week,Day_Name,Daily_Return,Cumulative_Return,MA_20,MA_50,MA_200,Volatility_10D,Volatility_30D,RSI_14,Price_Change_1M,Price_Change_3M,Price_Change_1Y,Normalized_Value,ESG_Score,Sustainability_Theme,Risk_Level
2020-07-06,54.3436164855957,54.369667014669616,54.09178366244502,54.28282639670515,194500.0,iShares_MSCI_EAFE_ESG_Select,ESGD,ESG Equity,Equity,International,USD,BlackRock,0.25,iShares MSCI EAFE ESG Select ETF,2020,3,7,28,6,0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85,Responsible Investing,Medium
2020-07-07,53.50127029418945,54.026643508219394,53.49258457776868,53.839940356735184,162000.0,iShares_MSCI_EAFE_ESG_Select,ESGD,ESG Equity,Equity,International,USD,BlackRock,0.25,iShares MSCI EAFE ESG Select ETF,2020,3,7,28,7,1,Tuesday,-1.550037052888309,-1.550037052888309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.44996294711169,85,Responsible Investing,Medium
2020-07-08,53.970211029052734,53.970211029052734,53.41444100250777,53.52733215146872,846100.0,iShares_MSCI_EAFE_ESG_Select,ESGD,ESG Equity,Equity,International,USD,BlackRock,0.25,iShares MSCI EAFE ESG Select ETF,2020,3,7,28,8,2,Wednesday,0.8765039265137053,-0.6871192620055866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.31288073799442,85,Responsible Investing,Medium
2020-07-09,53.37969970703125,53.92678061700168,52.99760766658542,53.92678061700168,356800.0,iShares_MSCI_EAFE_ESG_Select,ESGD,ESG Equity,Equity,International,USD,BlackRock,0.25,iShares MSCI EAFE ESG Select ETF,2020,3,7,28,9,3,Thursday,-1.0941430666328245,-1.7737442608736775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.22625573912632,85,Responsible Investing,Medium
2020-07-10,53.865997314453125,53.961520330709625,53.4231217903728,53.622850227713386,107800.0,iShares_MSCI_EAFE_ESG_Select,ESGD,ESG Equity,Equity,International,USD,BlackRock,0.25,iShares MSCI EAFE ESG Select ETF,2020,3,7,28,10,4,Friday,0.9110160043815707,-0.8788873505854666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.12111264941453,85,Responsible Investing,Medium
2020-07-13,53.579437255859375,54.52945012588248,53.51170389060888,54.213358879626206,131500.0,iShares_MSCI_EAFE_ESG_Select,ESGD,ESG Equity,Equity,International,USD,BlackRock,0.25,iShares MSCI EAFE ESG Select ETF,2020,3,7,29,13,0,Monday,-0.5319869173142755,-1.4061987021766975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5938012978233,85,Responsible Investing,Medium
2020-07-14,54.32624053955078,54.413077832380665,53.59679601683644,53.65758278434343,220700.0,iShares_MSCI_EAFE_ESG_Select,ESGD,ESG Equity,Equity,International,USD,BlackRock,0.25,iShares MSCI EAFE ESG Select ETF,2020,3,7,29,14,1,Tuesday,1.3938244258243637,-0.03197421733890371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9680257826611,85,Responsible Investing,Medium
2020-07-15,54.94279861450195,55.34225549577553,54.81340726075818,55.211999545428405,122400.0,iShares_MSCI_EAFE_ESG_Select,ESGD,ESG Equity,Equity,International,USD,BlackRock,0.25,iShares MSCI EAFE ESG Select ETF,2020,3,7,29,15,2,Wednesday,1.134917617762099,1.102580519397467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.10258051939746,85,Responsible Investing,Medium
2020-07-16,54.6735954284668,54.87332386086543,54.54767902948342,54.63885918475472,554600.0,iShares_MSCI_EAFE_ESG_Select,ESGD,ESG Equity,Equity,International,USD,BlackRock,0.25,iShares MSCI EAFE ESG Select ETF,2020,3,7,29,16,3,Thursday,-0.4899699193045892,0.6072082872117246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.60720828721172,85,Responsible Investing,Medium
2020-07-17,54.94279861450195,54.98621726461766,54.66057241980385,54.76912070140845,113000.0,iShares_MSCI_EAFE_ESG_Select,ESGD,ESG Equity,Equity,International,USD,BlackRock,0.25,iShares MSCI EAFE ESG Select ETF,2020,3,7,29,17,4,Friday,0.49238244517386676,1.102580519397467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.10258051939746,85,Responsible Investing,Medium
2020-07-20,55.27278518676758,55.28146759156074,54.84727447402959,55.03832050578509,119000.0,iShares_MSCI_EAFE_ESG_Select,ESGD,ESG Equity,Equity,International,USD,BlackRock,0.25,iShares MSCI EAFE ESG Select ETF,2020,3,7,30,20,0,Monday,0.600600225301462,1.7098028457825487,0.0,0.0,0.0,1.0138571563662326,0.0,0.0,0.0,0.0,0.0,101.70980284578255,85,Responsible Investing,Medium
2020-07-21,55.40303802490234,55.75039051185343,55.38566990366023,55.559347803450976,196400.0,iShares_MSCI_EAFE_ESG_Select,ESGD,ESG Equity,Equity,International,USD,BlackRock,0.25,iShares MSCI EAFE ESG Select ETF,2020,3,7,30,21,1,Tuesday,0.23565455892013976,1.9494866330573402,0.0,0.0,0.0,0.8139529878944134,0.0,0.0,0.0,0.0,0.0,101.94948663305735,85,Responsible Investing,Medium
2020-07-22,55.54198455810547,55.6244823130902,55.27278693679649,55.411728606300365,143100.0,iShares_MSCI_EAFE_ESG_Select,ESGD,ESG Equity,Equity,International,USD,BlackRock,0.25,iShares MSCI EAFE ESG Select ETF,2020,3,7,30,22,2,Wednesday,0.2507922636673543,2.2051680583816236,0.0,0.0,0.0,0.7930085814295756,0.0,0.0,0.0,0.0,0.0,102.20516805838162,85,Responsible Investing,Medium
2020-07-23,55.10344696044922,55.60276636673088,54.97318770764419,55.42909177983138,184900.0,iShares_MSCI_EAFE_ESG_Select,ESGD,ESG Equity,Equity,International,USD,BlackRock,0.25,iShares MSCI EAFE ESG Select ETF,2020,3,7,30,23,3,Thursday,-0.7895605480165546,1.398196373358629,0.0,0.0,0.0,0.7378570548668987,0.0,56.7671050441152,0.0,0.0,0.0,101.39819637335863,85,Responsible Investing,Medium
