Date,Close,High,Low,Open,Volume,ETF_Name,Ticker,Category,Asset_Class,Geographic_Focus,Currency,Issuer,Expense_Ratio,Full_Name,Year,Quarter,Month,Week,Day,Day_of_Week,Day_Name,Daily_Return,Cumulative_Return,MA_20,MA_50,MA_200,Volatility_10D,Volatility_30D,RSI_14,Price_Change_1M,Price_Change_3M,Price_Change_1Y,Normalized_Value,ESG_Score,Sustainability_Theme,Risk_Level
2020-07-06,23.802885055541992,23.81497820915345,23.776107122892544,23.79770180468891,4100.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,28,6,0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,95,Climate Finance,Low
2020-07-07,23.836572647094727,23.84953077409487,23.814977965519283,23.832254369807075,5600.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,28,7,1,Tuesday,0.14152734626129426,0.14152734626129426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1415273462613,95,Climate Finance,Low
2020-07-08,23.836572647094727,23.858168976238765,23.814977965519283,23.858168976238765,8700.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,28,8,2,Wednesday,0.0,0.14152734626129426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1415273462613,95,Climate Finance,Low
2020-07-09,23.885818481445312,23.91000479677142,23.840900803329795,23.86595044489779,5400.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,28,9,3,Thursday,0.2065977985999945,0.3484175372430842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.34841753724308,95,Climate Finance,Low
2020-07-10,23.86249351501465,23.944553985561345,23.84953703218334,23.944553985561345,10600.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,28,10,4,Friday,-0.09765194543692735,0.25042535530279686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.2504253553028,95,Climate Finance,Low
2020-07-13,23.84089469909668,23.88840399134272,23.81498009035282,23.884084066101035,11400.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,29,13,0,Monday,-0.09051365861819649,0.1596850275334072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.15968502753341,95,Climate Finance,Low
2020-07-14,23.90567398071289,23.94454506229,23.875441100327183,23.875441100327183,6400.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,29,14,1,Tuesday,0.27171497728508687,0.4318338929547805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.43183389295478,95,Climate Finance,Low
2020-07-15,23.92555046081543,23.935915317365843,23.866811330989428,23.92727876069166,3700.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,29,15,2,Wednesday,0.0831454495638706,0.5153383927503308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.51533839275034,95,Climate Finance,Low
2020-07-16,23.953187942504883,23.97046434826247,23.90136037280086,23.90136037280086,18100.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,29,16,3,Thursday,0.11551450711537736,0.6314481904700742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.63144819047008,95,Climate Finance,Low
2020-07-17,23.94022750854492,23.97909859129605,23.75451029624156,23.97909859129605,31000.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,29,17,4,Friday,-0.05410734467192757,0.5769991859493118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.57699918594932,95,Climate Finance,Low
2020-07-20,23.96182632446289,23.996379136236293,23.93591171563284,23.996379136236293,6600.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,30,20,0,Monday,0.09021976048582125,0.6677395137187014,0.0,0.0,0.0,0.12524603569735288,0.0,0.0,0.0,0.0,0.0,100.6677395137187,95,Climate Finance,Low
2020-07-21,24.022294998168945,24.03957140614176,23.99724535990663,24.03957140614176,12900.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,30,21,1,Tuesday,0.2523541940721019,0.921778776459159,0.0,0.0,0.0,0.13696369105399778,0.0,0.0,0.0,0.0,0.0,100.92177877645916,95,Climate Finance,Low
2020-07-22,24.05684471130371,24.06116298895548,24.00501714163885,24.00501714163885,7100.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,30,22,2,Wednesday,0.14382353200390607,1.066928043256632,0.0,0.0,0.0,0.13543760787762088,0.0,0.0,0.0,0.0,0.0,101.06692804325664,95,Climate Finance,Low
2020-07-23,24.074125289916992,24.091400051087096,24.050802302876075,24.091400051087096,8400.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,30,23,3,Thursday,0.07183227401872383,1.139526715950967,0.0,0.0,0.0,0.12934776232158998,0.0,85.04317312620682,0.0,0.0,0.0,101.13952671595096,95,Climate Finance,Low
2020-07-24,24.07757568359375,24.108671895381576,24.04043124708021,24.065482529279738,9500.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,30,24,4,Friday,0.01433237401238241,1.1540224111942443,0.0,0.0,0.0,0.11661031648282663,0.0,85.1753430412327,0.0,0.0,0.0,101.15402241119425,95,Climate Finance,Low
2020-07-27,24.05684471130371,24.108672280968573,24.05684471130371,24.108672280968573,3800.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,31,27,0,Monday,-0.08610074603219164,1.066928043256632,0.0,0.0,0.0,0.11585792248794244,0.0,79.17491915925572,0.0,0.0,0.0,101.06692804325664,95,Climate Finance,Low
2020-07-28,24.13459205627441,24.13459205627441,24.030935247185297,24.100039237388344,5400.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,31,28,1,Tuesday,0.32318180502768357,1.393557965592862,0.0,0.0,0.0,0.12555121631024738,0.0,82.73141669669202,0.0,0.0,0.0,101.39355796559286,95,Climate Finance,Low
2020-07-29,24.148401260375977,24.169132613089086,24.10002865323484,24.10002865323484,11900.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,31,29,2,Wednesday,0.05721747469096261,1.451572798960088,0.0,0.0,0.0,0.1260993840260921,0.0,81.27376728168123,0.0,0.0,0.0,101.45157279896009,95,Climate Finance,Low
2020-07-30,24.177780151367188,24.18641835563105,24.1268158995087,24.18641835563105,4500.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,31,30,3,Thursday,0.121659776456573,1.5749985556389845,0.0,0.0,0.0,0.12623713316944163,0.0,87.01702369702147,0.0,0.0,0.0,101.57499855563898,95,Climate Finance,Low
2020-07-31,24.15185546875,24.20368467272361,24.125942514331506,24.17777007073681,11800.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,7,31,31,4,Friday,-0.10722523926879335,1.4660845204004236,23.98260087966919,0.0,0.0,0.13401352815026768,0.0,86.14201157196952,0.0,0.0,0.0,101.46608452040043,95,Climate Finance,Low
2020-08-03,24.222824096679688,24.222824096679688,24.162245664796387,24.214169799176577,2500.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,8,32,3,0,Monday,0.2938433778784111,1.7642358905561428,24.003597831726076,0.0,0.0,0.14899820870840488,0.0,86.33856374841498,0.0,0.0,0.0,101.76423589055614,95,Climate Finance,Low
2020-08-04,24.27042388916016,24.27475021294569,24.243596059901726,24.248788968955257,6100.0,VanEck_Green_Bond,GRNB,Green Bonds,Fixed Income,Global,USD,VanEck,0.2,VanEck Green Bond ETF,2020,3,8,32,4,1,Tuesday,0.19650802189905558,1.9642107775053486,24.025290393829344,0.0,0.0,0.14396866648689102,0.0,87.1546285831702,1.9642107775053486,0.0,0.0,101.96421077750534,95,Climate Finance,Low
