Date,Close,High,Low,Open,Volume,ETF_Name,Ticker,Category,Asset_Class,Geographic_Focus,Currency,Issuer,Expense_Ratio,Full_Name,Year,Quarter,Month,Week,Day,Day_of_Week,Day_Name,Daily_Return,Cumulative_Return,MA_20,MA_50,MA_200,Volatility_10D,Volatility_30D,RSI_14,Price_Change_1M,Price_Change_3M,Price_Change_1Y,Normalized_Value,ESG_Score,Sustainability_Theme,Risk_Level
2020-07-06,67.85722351074219,68.15078294099757,67.80170464162704,68.09339047156705,4100.0,SPDR_SSGA_Gender_Diversity,SHE,ESG Equity,Equity,United States,USD,State Street,0.2,SPDR SSGA Gender Diversity ETF,2020,3,7,28,6,0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,85,Responsible Investing,Medium
2020-07-07,67.05179595947266,67.7170173019468,67.05179595947266,67.69819515881251,8100.0,SPDR_SSGA_Gender_Diversity,SHE,ESG Equity,Equity,United States,USD,State Street,0.2,SPDR SSGA Gender Diversity ETF,2020,3,7,28,7,1,Tuesday,-1.1869444542511043,-1.1869444542511043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8130555457489,85,Responsible Investing,Medium
2020-07-08,67.40839385986328,67.40839385986328,66.98310820367978,67.32183497723786,3500.0,SPDR_SSGA_Gender_Diversity,SHE,ESG Equity,Equity,United States,USD,State Street,0.2,SPDR SSGA Gender Diversity ETF,2020,3,7,28,8,2,Wednesday,0.5318245324944959,-0.661432383551408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.33856761644859,85,Responsible Investing,Medium
2020-07-09,66.83255004882812,67.54764059760684,66.34328210190135,67.54764059760684,12100.0,SPDR_SSGA_Gender_Diversity,SHE,ESG Equity,Equity,United States,USD,State Street,0.2,SPDR SSGA Gender Diversity ETF,2020,3,7,28,9,3,Thursday,-0.8542612841841213,-1.5100433069617836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.48995669303821,85,Responsible Investing,Medium
2020-07-10,67.7734603881836,67.7734603881836,66.69141701484806,66.69141701484806,11300.0,SPDR_SSGA_Gender_Diversity,SHE,ESG Equity,Equity,United States,USD,State Street,0.2,SPDR SSGA Gender Diversity ETF,2020,3,7,28,10,4,Friday,1.4078623943991841,-0.12344024442045853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.87655975557954,85,Responsible Investing,Medium
2020-07-13,67.06780242919922,68.59207327660671,67.04898746105398,68.24393534828182,5800.0,SPDR_SSGA_Gender_Diversity,SHE,ESG Equity,Equity,United States,USD,State Street,0.2,SPDR SSGA Gender Diversity ETF,2020,3,7,29,13,0,Monday,-1.0412010172456965,-1.163356000585547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.83664399941445,85,Responsible Investing,Medium
2020-07-14,67.67938232421875,68.04633516289863,66.42797537254404,66.69142795636093,14600.0,SPDR_SSGA_Gender_Diversity,SHE,ESG Equity,Equity,United States,USD,State Street,0.2,SPDR SSGA Gender Diversity ETF,2020,3,7,29,14,1,Tuesday,0.9118830092355479,-0.26208143705627185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.73791856294373,85,Responsible Investing,Medium
2020-07-15,68.62029266357422,68.66357211109315,68.02752431411733,68.55442951363456,4500.0,SPDR_SSGA_Gender_Diversity,SHE,ESG Equity,Equity,United States,USD,State Street,0.2,SPDR SSGA Gender Diversity ETF,2020,3,7,29,15,2,Wednesday,1.3902466409164704,1.1245216254850643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.12452162548506,85,Responsible Investing,Medium
2020-07-16,68.36624908447266,68.37565297807826,68.03692616611292,68.2909748643593,8600.0,SPDR_SSGA_Gender_Diversity,SHE,ESG Equity,Equity,United States,USD,State Street,0.2,SPDR SSGA Gender Diversity ETF,2020,3,7,29,16,3,Thursday,-0.37021640281696966,0.7501420591573327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.75014205915733,85,Responsible Investing,Medium
2020-07-17,68.37565612792969,68.52620457509168,68.21570378672887,68.43211538488796,4000.0,SPDR_SSGA_Gender_Diversity,SHE,ESG Equity,Equity,United States,USD,State Street,0.2,SPDR SSGA Gender Diversity ETF,2020,3,7,29,17,4,Friday,0.013759777058131029,0.764005054090422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.76400505409042,85,Responsible Investing,Medium
2020-07-20,68.72471618652344,68.85550206441953,68.14041148718596,68.36623409802382,8500.0,SPDR_SSGA_Gender_Diversity,SHE,ESG Equity,Equity,United States,USD,State Street,0.2,SPDR SSGA Gender Diversity ETF,2020,3,7,30,20,0,Monday,0.5105034135843178,1.278408739555803,0.0,0.0,0.0,0.9705253825018546,0.0,0.0,0.0,0.0,0.0,101.2784087395558,85,Responsible Investing,Medium
