Date,Close,High,Low,Open,Volume,ETF_Name,Ticker,Category,Asset_Class,Geographic_Focus,Currency,Issuer,Expense_Ratio,Full_Name,Year,Quarter,Month,Week,Day,Day_of_Week,Day_Name,Daily_Return,Cumulative_Return,MA_20,MA_50,MA_200,Volatility_10D,Volatility_30D,RSI_14,Price_Change_1M,Price_Change_3M,Price_Change_1Y,Normalized_Value,ESG_Score,Sustainability_Theme,Risk_Level
2020-07-06,39.56142807006836,39.74092363616297,38.951133559102985,39.08575523367394,123800.0,Invesco_WilderHill_Clean_Energy,PBW,Clean Energy,Equity,United States,USD,Invesco,0.7,Invesco WilderHill Clean Energy ETF,2020,3,7,28,6,0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,90,Renewable Energy,High
2020-07-07,39.61526870727539,39.92041591143333,38.897276292685525,39.354995387093474,120400.0,Invesco_WilderHill_Clean_Energy,PBW,Clean Energy,Equity,United States,USD,Invesco,0.7,Invesco WilderHill Clean Energy ETF,2020,3,7,28,7,1,Tuesday,0.13609376565393294,0.13609376565393294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.13609376565394,90,Renewable Energy,High
2020-07-08,40.75508499145508,40.97048443732324,39.82169309878975,39.82169309878975,267100.0,Invesco_WilderHill_Clean_Energy,PBW,Clean Energy,Equity,United States,USD,Invesco,0.7,Invesco WilderHill Clean Energy ETF,2020,3,7,28,8,2,Wednesday,2.8772145724972997,3.0172240478088863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.01722404780888,90,Renewable Energy,High
2020-07-09,40.56661987304688,41.20383806959234,39.381931267988776,41.20383806959234,260800.0,Invesco_WilderHill_Clean_Energy,PBW,Clean Energy,Equity,United States,USD,Invesco,0.7,Invesco WilderHill Clean Energy ETF,2020,3,7,28,9,3,Thursday,-0.4624333833378347,2.5408380132238895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.54083801322389,90,Renewable Energy,High
2020-07-10,40.98843002319336,40.98843002319336,40.20761347470355,40.602511876339086,60800.0,Invesco_WilderHill_Clean_Energy,PBW,Clean Energy,Equity,United States,USD,Invesco,0.7,Invesco WilderHill Clean Energy ETF,2020,3,7,28,10,4,Friday,1.039796146355143,3.607053695325657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.60705369532566,90,Renewable Energy,High
2020-07-13,40.09991455078125,42.45134097365768,40.072990905342216,41.76924904115856,160200.0,Invesco_WilderHill_Clean_Energy,PBW,Clean Energy,Equity,United States,USD,Invesco,0.7,Invesco WilderHill Clean Energy ETF,2020,3,7,29,13,0,Monday,-2.1677226278472794,1.361140148326201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.3611401483262,90,Renewable Energy,High
2020-07-14,41.778228759765625,41.80515583293033,39.399878332157904,39.97427234601549,90500.0,Invesco_WilderHill_Clean_Energy,PBW,Clean Energy,Equity,United States,USD,Invesco,0.7,Invesco WilderHill Clean Energy ETF,2020,3,7,29,14,1,Tuesday,4.1853311354541844,5.603439506205454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.60343950620546,90,Renewable Energy,High
2020-07-15,43.33089065551758,43.46551575660202,42.2898006012613,43.03472022625376,264600.0,Invesco_WilderHill_Clean_Energy,PBW,Clean Energy,Equity,United States,USD,Invesco,0.7,Invesco WilderHill Clean Energy ETF,2020,3,7,29,15,2,Wednesday,3.7164378238247364,9.528125675273946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.52812567527394,90,Renewable Energy,High
2020-07-16,42.550071716308594,42.98984405604658,42.235951061966006,42.83726872132421,124300.0,Invesco_WilderHill_Clean_Energy,PBW,Clean Energy,Equity,United States,USD,Invesco,0.7,Invesco WilderHill Clean Energy ETF,2020,3,7,29,16,3,Thursday,-1.801991437047823,7.554438229446525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.55443822944653,90,Renewable Energy,High
2020-07-17,42.7205924987793,42.8641909966842,42.23594970813664,42.84624418014705,111600.0,Invesco_WilderHill_Clean_Energy,PBW,Clean Energy,Equity,United States,USD,Invesco,0.7,Invesco WilderHill Clean Energy ETF,2020,3,7,29,17,4,Friday,0.40075321989492263,7.985466103790917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.98546610379091,90,Renewable Energy,High
