Date,Close,High,Low,Open,Volume,ETF_Name,Ticker,Category,Asset_Class,Geographic_Focus,Currency,Issuer,Expense_Ratio,Full_Name,Year,Quarter,Month,Week,Day,Day_of_Week,Day_Name,Daily_Return,Cumulative_Return,MA_20,MA_50,MA_200,Volatility_10D,Volatility_30D,RSI_14,Price_Change_1M,Price_Change_3M,Price_Change_1Y,Normalized_Value,ESG_Score,Sustainability_Theme,Risk_Level
2020-07-06,27.81946563720703,27.8953195948398,27.724647738040822,27.80050169567359,11500.0,Invesco_Global_Water,PIO,Water/Environmental,Equity,Global,USD,Invesco,0.75,Invesco Global Water ETF,2020,3,7,28,6,0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,80,Resource Conservation,Medium
2020-07-07,27.50657081604004,27.734132713592967,27.468642928863957,27.629832832359924,5600.0,Invesco_Global_Water,PIO,Water/Environmental,Equity,Global,USD,Invesco,0.75,Invesco Global Water ETF,2020,3,7,28,7,1,Tuesday,-1.124733398000688,-1.124733398000688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.87526660199931,80,Resource Conservation,Medium
2020-07-08,27.705686569213867,27.72465051264517,27.563460610481485,27.582424553912787,8200.0,Invesco_Global_Water,PIO,Water/Environmental,Equity,Global,USD,Invesco,0.75,Invesco Global Water ETF,2020,3,7,28,8,2,Wednesday,0.7238843202429068,-0.40899084647043615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.59100915352957,80,Resource Conservation,Medium
2020-07-09,27.50657081604004,27.71516877000492,27.383306991218955,27.67724269133004,5700.0,Invesco_Global_Water,PIO,Water/Environmental,Equity,Global,USD,Invesco,0.75,Invesco Global Water ETF,2020,3,7,28,9,3,Thursday,-0.7186818946947948,-1.124733398000688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.87526660199931,80,Resource Conservation,Medium
2020-07-10,27.65827751159668,27.72464950268724,27.49708761530485,27.553977635025166,6700.0,Invesco_Global_Water,PIO,Water/Environmental,Equity,Global,USD,Invesco,0.75,Invesco Global Water ETF,2020,3,7,28,10,4,Friday,0.5515289294737435,-0.5794076985963792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.42059230140362,80,Resource Conservation,Medium
2020-07-13,27.55397605895996,28.00910161619305,27.544494088132083,27.80050187498175,37700.0,Invesco_Global_Water,PIO,Water/Environmental,Equity,Global,USD,Invesco,0.75,Invesco Global Water ETF,2020,3,7,29,13,0,Monday,-0.37710754978500516,-0.9543302582059376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.04566974179406,80,Resource Conservation,Medium
2020-07-14,28.028060913085938,28.028060913085938,27.487601290095068,27.487601290095068,13900.0,Invesco_Global_Water,PIO,Water/Environmental,Equity,Global,USD,Invesco,0.75,Invesco Global Water ETF,2020,3,7,29,14,1,Tuesday,1.7205678523909862,0.7498176945567314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.74981769455673,80,Resource Conservation,Medium
2020-07-15,28.49267196655273,28.596971846301223,28.293555987215985,28.293555987215985,67500.0,Invesco_Global_Water,PIO,Water/Environmental,Equity,Global,USD,Invesco,0.75,Invesco Global Water ETF,2020,3,7,29,15,2,Wednesday,1.6576639208382593,2.4199110727896933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.41991107278969,80,Resource Conservation,Medium
2020-07-16,28.644380569458008,28.720236344513683,28.483192472968348,28.483192472968348,7000.0,Invesco_Global_Water,PIO,Water/Environmental,Equity,Global,USD,Invesco,0.75,Invesco Global Water ETF,2020,3,7,29,16,3,Thursday,0.5324477924828042,2.965243628359615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.96524362835962,80,Resource Conservation,Medium
2020-07-17,28.77712821960449,28.824536273564597,28.663346358198385,28.672828330690677,4400.0,Invesco_Global_Water,PIO,Water/Environmental,Equity,Global,USD,Invesco,0.75,Invesco Global Water ETF,2020,3,7,29,17,4,Friday,0.463433481567499,3.442419041710987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.44241904171099,80,Resource Conservation,Medium
