Date,Close,High,Low,Open,Volume,ETF_Name,Ticker,Category,Asset_Class,Geographic_Focus,Currency,Issuer,Expense_Ratio,Full_Name,Year,Quarter,Month,Week,Day,Day_of_Week,Day_Name,Daily_Return,Cumulative_Return,MA_20,MA_50,MA_200,Volatility_10D,Volatility_30D,RSI_14,Price_Change_1M,Price_Change_3M,Price_Change_1Y,Normalized_Value,ESG_Score,Sustainability_Theme,Risk_Level
2020-07-06,12.543295860290527,12.543295860290527,12.336745220516596,12.383687977953404,1154100.0,iShares_Global_Clean_Energy,ICLN,Clean Energy,Equity,Global,USD,BlackRock,0.42,iShares Global Clean Energy ETF,2020,3,7,28,6,0,Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,90,Renewable Energy,High
2020-07-07,12.496352195739746,12.609016417086025,12.411853805886128,12.468185468871448,763100.0,iShares_Global_Clean_Energy,ICLN,Clean Energy,Equity,Global,USD,BlackRock,0.42,iShares Global Clean Energy ETF,2020,3,7,28,7,1,Tuesday,-0.3742530278616374,-0.3742530278616374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.62574697213836,90,Renewable Energy,High
2020-07-08,12.909454345703123,12.909454345703123,12.58084969511679,12.58084969511679,647800.0,iShares_Global_Clean_Energy,ICLN,Clean Energy,Equity,Global,USD,BlackRock,0.42,iShares Global Clean Energy ETF,2020,3,7,28,8,2,Wednesday,3.3057819073330164,2.919156890588681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.91915689058868,90,Renewable Energy,High
2020-07-09,12.749848365783691,12.937622095948798,12.533908799937764,12.937622095948798,939200.0,iShares_Global_Clean_Energy,ICLN,Clean Energy,Equity,Global,USD,BlackRock,0.42,iShares Global Clean Energy ETF,2020,3,7,28,9,3,Thursday,-1.2363495438717509,1.6467163638152371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.64671636381524,90,Renewable Energy,High
2020-07-10,12.731070518493652,12.731070518493652,12.618405393177822,12.70290378947684,603100.0,iShares_Global_Clean_Energy,ICLN,Clean Energy,Equity,Global,USD,BlackRock,0.42,iShares Global Clean Energy ETF,2020,3,7,28,10,4,Friday,-0.14727898521862404,1.4970121114465718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.49701211144657,90,Renewable Energy,High
2020-07-13,12.580849647521973,12.993952686432015,12.5526838161249,12.83434481622254,987600.0,iShares_Global_Clean_Energy,ICLN,Clean Energy,Equity,Global,USD,BlackRock,0.42,iShares Global Clean Energy ETF,2020,3,7,29,13,0,Monday,-1.1799547473518635,0.2993932986172565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.29939329861726,90,Renewable Energy,High
2020-07-14,12.937620162963867,12.947009071913287,12.449408537477348,12.580849681266669,711500.0,iShares_Global_Clean_Energy,ICLN,Clean Energy,Equity,Global,USD,BlackRock,0.42,iShares Global Clean Energy ETF,2020,3,7,29,14,1,Tuesday,2.835822106117991,3.1437056660816642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.14370566608166,90,Renewable Energy,High
2020-07-15,13.228671073913574,13.256836907517789,13.05967428153688,13.209893254593627,1717400.0,iShares_Global_Clean_Energy,ICLN,Clean Energy,Equity,Global,USD,BlackRock,0.42,iShares Global Clean Energy ETF,2020,3,7,29,15,2,Wednesday,2.249647982268721,5.464075959435855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.46407595943586,90,Renewable Energy,High
2020-07-16,13.12539291381836,13.266223851726092,13.097227084387042,13.162948546894214,1223000.0,iShares_Global_Clean_Energy,ICLN,Clean Energy,Equity,Global,USD,BlackRock,0.42,iShares Global Clean Energy ETF,2020,3,7,29,16,3,Thursday,-0.7807145518862857,4.64070257140814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.64070257140814,90,Renewable Energy,High
2020-07-17,13.341334342956545,13.341334342956545,13.172337562749815,13.247447043869329,705400.0,iShares_Global_Clean_Energy,ICLN,Clean Energy,Equity,Global,USD,BlackRock,0.42,iShares Global Clean Energy ETF,2020,3,7,29,17,4,Friday,1.6452187797810103,6.3622710614077205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.36227106140772,90,Renewable Energy,High
2020-07-20,13.585441589355469,13.632385242302934,13.425833706559514,13.435222616224149,1158700.0,iShares_Global_Clean_Energy,ICLN,Clean Energy,Equity,Global,USD,BlackRock,0.42,iShares Global Clean Energy ETF,2020,3,7,30,20,0,Monday,1.8297063856120177,8.308388326900262,0.0,0.0,0.0,1.7365134600130385,0.0,0.0,0.0,0.0,0.0,108.30838832690026,90,Renewable Energy,High
2020-07-21,13.651161193847656,13.782603233662446,13.576051712632244,13.773214324666608,1392500.0,iShares_Global_Clean_Energy,ICLN,Clean Energy,Equity,Global,USD,BlackRock,0.42,iShares Global Clean Energy ETF,2020,3,7,30,21,1,Tuesday,0.48375022674036483,8.83233040101048,0.0,0.0,0.0,1.6918597587137385,0.0,0.0,0.0,0.0,0.0,108.83233040101048,90,Renewable Energy,High
